Content,Count,Percentage
？,15412,7.366514193397286%
,8018,3.832384557660228%
了,7326,3.5016274968095327%
的,6044,2.888866583499429%
，,5375,2.569102893168337%
。,5093,2.434314611145366%
！,3633,1.7364745694661523%
我,3161,1.5108714874986258%
是,2897,1.3846867128388227%
?,2796,1.3364114770788225%
你,2728,1.3039093381512974%
啊,2703,1.2919600223691192%
这,1825,0.8723000520990167%
哈哈哈,1681,0.8034719931936697%
来,1503,0.7183928648245601%
都,1220,0.5831266101703017%
不,1130,0.5401090733544598%
💃,1123,0.5367632649354498%
就,1032,0.4932677554883207%
好,1030,0.49231181022574644%
吗,1023,0.4889660018067366%
这个,1002,0.4789285765497068%
吧,945,0.4516841365663402%
也,812,0.38811377660515156%
有,775,0.3704287892475277%
还,730,0.3489200208396067%
在,716,0.34222840400158683%
哈哈哈哈,687,0.32836719769426004%
~,670,0.32024166296237877%
人,655,0.3130720734930718%
…,641,0.3063804566550519%
没,617,0.29490911350416077%
看,599,0.2863056061409924%
什么,582,0.2781800714091111%
不是,575,0.2748342629901012%
就是,520,0.2485457682693089%
哈哈,487,0.23277267143683353%
要,483,0.23086078091168497%
这么,473,0.2260810545988137%
呢,462,0.22082335565465522%
给,459,0.2193894377607938%
啦,455,0.21747754723564527%
说,455,0.21747754723564527%
真的,448,0.21413173881663533%
个,419,0.20027053250930854%
吃,405,0.19357891567128865%
怎么,405,0.19357891567128865%
打卡,405,0.19357891567128865%
很,399,0.19071107988356586%
一个,399,0.19071107988356586%
大,393,0.18784324409584308%
又,392,0.18736527146455595%
死,384,0.18354149041425888%
),364,0.17398203778851623%
可以,363,0.17350406515722908%
!,353,0.16872433884435778%
还是,352,0.16824636621307063%
(,348,0.16633447568792212%
666,342,0.16346663990019933%
打,340,0.16251069463762505%
太,338,0.1615547493750508%
真,337,0.16107677674376367%
想,331,0.15820894095604088%
么,330,0.15773096832475372%
他,330,0.15773096832475372%
被,328,0.15677502306217947%
没有,317,0.151517324118021%
能,317,0.151517324118021%
去,302,0.144347734648714%
1,300,0.14339178938613975%
牛,299,0.14291381675485262%
和,288,0.13765611781069417%
逼,286,0.1367001725481199%
这是,278,0.13287639149782282%
上,275,0.13144247360396144%
支持,268,0.1280966651849515%
谁,268,0.1280966651849515%
ﾟ,267,0.12761869255366437%
多,260,0.12427288413465445%
那,258,0.12331693887208017%
感觉,258,0.12331693887208017%
你们,254,0.12140504834693167%
卧槽,252,0.12044910308435738%
大大,242,0.11566937677148607%
笑,236,0.11280154098376328%
小,230,0.10993370519604047%
·,229,0.10945573256475334%
会,229,0.10945573256475334%
做,227,0.10849978730217907%
太美,226,0.10802181467089195%
把,224,0.10706586940831767%
啥,222,0.10610992414574341%
虚浮,220,0.10515397888316916%
那个,215,0.1027641157267335%
买,213,0.10180817046415921%
知道,209,0.09989627993901071%
弹幕,209,0.09989627993901071%
为什么,207,0.09894033467643643%
：,202,0.09655047152000076%
有点,200,0.0955945262574265%
6666,198,0.09463858099485223%
、,195,0.09320466310099083%
喜欢,194,0.09272669046970371%
这样,192,0.09177074520712944%
哦,192,0.09177074520712944%
警告,188,0.08985885468198092%
哇,187,0.08938088205069378%
自己,185,0.08842493678811951%
过,182,0.08699101889425812%
更,180,0.08603507363168385%
到,177,0.08460115573782245%
呀,176,0.08412318310653531%
像,174,0.08316723784396106%
...,173,0.08268926521267392%
玩,172,0.08221129258138679%
才,170,0.08125534731881252%
用,169,0.0807773746875254%
第一,169,0.0807773746875254%
66666,167,0.07982142942495113%
得,166,0.079343456793664%
不要,166,0.079343456793664%
厉害,161,0.07695359363722833%
不错,157,0.0750417031120798%
老婆,155,0.07408575784950554%
好看,155,0.07408575784950554%
出来,154,0.0736077852182184%
对,154,0.0736077852182184%
好像,153,0.07312981258693127%
还有,152,0.07265183995564414%
我们,152,0.07265183995564414%
已经,151,0.072173867324357%
现在,150,0.07169589469306988%
着,149,0.07121792206178275%
5,147,0.07026197679920848%
让,147,0.07026197679920848%
律师函,146,0.06978400416792135%
比,145,0.06930603153663421%
五蕉,144,0.06882805890534709%
-,144,0.06882805890534709%
再,143,0.06835008627405995%
这种,141,0.06739414101148568%
