Content,Count,Percentage
,198,15.852682145716573%
了,47,3.7630104083266613%
来,37,2.9623698959167335%
，,33,2.6421136909527623%
？,28,2.241793434747798%
 ,27,2.1617293835068057%
啦,27,2.1617293835068057%
的,23,1.8414731785428344%
我,18,1.4411529223378703%
白考儿,17,1.3610888710968776%
诗,17,1.3610888710968776%
:,16,1.2810248198558847%
是,16,1.2810248198558847%
！,15,1.200960768614892%
吗,14,1.120896717373899%
[,14,1.120896717373899%
],13,1.0408326661329064%
啊,11,0.8807045636509208%
我来,10,0.8006405124099278%
看,10,0.8006405124099278%
刘诗,9,0.7205764611689351%
都,8,0.6405124099279423%
。,7,0.5604483586869495%
第一,6,0.4803843074459567%
你,6,0.4803843074459567%
诗诗,6,0.4803843074459567%
分钟,6,0.4803843074459567%
好看,6,0.4803843074459567%
会员,6,0.4803843074459567%
29,5,0.4003202562049639%
就,5,0.4003202562049639%
还,5,0.4003202562049639%
喜欢,5,0.4003202562049639%
什么,5,0.4003202562049639%
第一个,4,0.32025620496397117%
~,4,0.32025620496397117%
这,4,0.32025620496397117%
终于,4,0.32025620496397117%
有,4,0.32025620496397117%
这么,4,0.32025620496397117%
就是,4,0.32025620496397117%
直教,4,0.32025620496397117%
剧场版,4,0.32025620496397117%
￣,4,0.32025620496397117%
嚣张,4,0.32025620496397117%
点,4,0.32025620496397117%
打卡,3,0.24019215372297836%
爱,3,0.24019215372297836%
啊啊啊,3,0.24019215372297836%
认真,3,0.24019215372297836%
想,3,0.24019215372297836%
哈哈,3,0.24019215372297836%
一,3,0.24019215372297836%
哈哈哈,3,0.24019215372297836%
没有,3,0.24019215372297836%
追剧,3,0.24019215372297836%
大爱,3,0.24019215372297836%
也,3,0.24019215372297836%
...,3,0.24019215372297836%
鸡腿,3,0.24019215372297836%
片头,3,0.24019215372297836%
可以,3,0.24019215372297836%
不,3,0.24019215372297836%
佟,3,0.24019215372297836%
大为,3,0.24019215372297836%
和,3,0.24019215372297836%
哦,3,0.24019215372297836%
不要,3,0.24019215372297836%
期待,3,0.24019215372297836%
不行,3,0.24019215372297836%
@,3,0.24019215372297836%
这样,3,0.24019215372297836%
有人,3,0.24019215372297836%
两个,3,0.24019215372297836%
小时,3,0.24019215372297836%
没,3,0.24019215372297836%
-,3,0.24019215372297836%
合集,3,0.24019215372297836%
老祖,3,0.24019215372297836%
(,3,0.24019215372297836%
/,3,0.24019215372297836%
嘤,3,0.24019215372297836%
耿,2,0.16012810248198558%
墨池,2,0.16012810248198558%
小狮子,2,0.16012810248198558%
激动,2,0.16012810248198558%
考鹅,2,0.16012810248198558%
麻麻,2,0.16012810248198558%
好,2,0.16012810248198558%
明天,2,0.16012810248198558%
实在,2,0.16012810248198558%
忍不住,2,0.16012810248198558%
前排,2,0.16012810248198558%
去,2,0.16012810248198558%
开始,2,0.16012810248198558%
跳海,2,0.16012810248198558%
哈哈哈哈,2,0.16012810248198558%
考儿,2,0.16012810248198558%
哇,2,0.16012810248198558%
为了,2,0.16012810248198558%
觉,2,0.16012810248198558%
不用,2,0.16012810248198558%
睡,2,0.16012810248198558%
我家,2,0.16012810248198558%
因为,2,0.16012810248198558%
后面,2,0.16012810248198558%
越,2,0.16012810248198558%
等到,2,0.16012810248198558%
 ,2,0.16012810248198558%
老家,2,0.16012810248198558%
多,2,0.16012810248198558%
电视剧,2,0.16012810248198558%
么,2,0.16012810248198558%
😄,2,0.16012810248198558%
这个,2,0.16012810248198558%
等,2,0.16012810248198558%
加油,2,0.16012810248198558%
怎么,2,0.16012810248198558%
短,2,0.16012810248198558%
6,2,0.16012810248198558%
周年,2,0.16012810248198558%
不是,2,0.16012810248198558%
好像,2,0.16012810248198558%
那个,2,0.16012810248198558%
现在,2,0.16012810248198558%
666,2,0.16012810248198558%
弹幕,2,0.16012810248198558%
人,2,0.16012810248198558%
问,2,0.16012810248198558%
世间,2,0.16012810248198558%
情为,2,0.16012810248198558%
何物,2,0.16012810248198558%
鹊桥,2,0.16012810248198558%
难度,2,0.16012810248198558%
相思苦,2,0.16012810248198558%
化蝶,2,0.16012810248198558%
难,2,0.16012810248198558%
采同,2,0.16012810248198558%
1,2,0.16012810248198558%
电影,2,0.16012810248198558%
你们,2,0.16012810248198558%
恭迎,2,0.16012810248198558%
夷陵,2,0.16012810248198558%
魏无羡,2,0.16012810248198558%
动漫,2,0.16012810248198558%
),2,0.16012810248198558%
完,2,0.16012810248198558%
妈耶,2,0.16012810248198558%
发来,2,0.16012810248198558%
贺电,2,0.16012810248198558%
诶,2,0.16012810248198558%
颜色,2,0.16012810248198558%
香喷喷,1,0.08006405124099279%
烤,1,0.08006405124099279%
鹅,1,0.08006405124099279%
留个,1,0.08006405124099279%
言,1,0.08006405124099279%
听,1,0.08006405124099279%
着,1,0.08006405124099279%
背景,1,0.08006405124099279%
音,1,0.08006405124099279%
睡觉,1,0.08006405124099279%
美,1,0.08006405124099279%
围观,1,0.08006405124099279%
姐,1,0.08006405124099279%
宝宝,1,0.08006405124099279%
们,1,0.08006405124099279%
紫色,1,0.08006405124099279%
奶狮,1,0.08006405124099279%
上来,1,0.08006405124099279%
跳水,1,0.08006405124099279%
硬核,1,0.08006405124099279%
诗白,1,0.08006405124099279%
没人,1,0.08006405124099279%
你好,1,0.08006405124099279%
片头曲,1,0.08006405124099279%
签到,1,0.08006405124099279%
两年,1,0.08006405124099279%
现场,1,0.08006405124099279%
超级,1,0.08006405124099279%
美腻,1,0.08006405124099279%
可是,1,0.08006405124099279%
真,1,0.08006405124099279%
跳,1,0.08006405124099279%
身体,1,0.08006405124099279%
太轻,1,0.08006405124099279%
坠,1,0.08006405124099279%
铁链,1,0.08006405124099279%
以前,1,0.08006405124099279%
觉得,1,0.08006405124099279%
诗不乖,1,0.08006405124099279%
青春,1,0.08006405124099279%
斗,1,0.08006405124099279%
过来,1,0.08006405124099279%
zui,1,0.08006405124099279%
mei,1,0.08006405124099279%
q,1,0.08006405124099279%
在,1,0.08006405124099279%
拍,1,0.08006405124099279%
小小,1,0.08006405124099279%
过,1,0.08006405124099279%
还好,1,0.08006405124099279%
今年,1,0.08006405124099279%
生意,1,0.08006405124099279%
不好,1,0.08006405124099279%
看过,1,0.08006405124099279%
这本,1,0.08006405124099279%
小说,1,0.08006405124099279%
第一步,1,0.08006405124099279%
言情,1,0.08006405124099279%
专门,1,0.08006405124099279%
只有,1,0.08006405124099279%
