Content,Count,Percentage
Σ,2753,10.505628696813584%
(,2759,10.52852509063156%
⊙,5506,21.01125739362717%
▽,2753,10.505628696813584%
"""",2753,10.505628696813584%
a,2754,10.509444762449913%
是,94,0.3587101698149208%
个,3,0.011448196908986834%
男人,2,0.0076321312726578905%
都,20,0.0763213127265789%
得,3,0.011448196908986834%
上,5,0.019080328181644724%
。,82,0.31291738217897347%
灬,2,0.0076321312726578905%
º,2,0.0076321312726578905%
ω,1,0.0038160656363289453%
),5,0.019080328181644724%
♩,1,0.0038160656363289453%
没,19,0.07250524709024996%
人,16,0.061057050181263124%
？,152,0.5800419767219996%
只有,2,0.0076321312726578905%
我,150,0.5724098454493417%
感觉,5,0.019080328181644724%
狐狸,1,0.0038160656363289453%
手感,1,0.0038160656363289453%
范海辛,1,0.0038160656363289453%
好,39,0.14882655981682885%
吗,34,0.12974623163518412%
李白,2,0.0076321312726578905%
真,5,0.019080328181644724%
·,1,0.0038160656363289453%
超清,1,0.0038160656363289453%
一,2,0.0076321312726578905%
上来,1,0.0038160656363289453%
家暴,1,0.0038160656363289453%
啊,50,0.19080328181644723%
陈嘉怡,1,0.0038160656363289453%
我爱你,1,0.0038160656363289453%
666,10,0.03816065636328945%
名,2,0.0076321312726578905%
第一,89,0.3396298416332761%
顶,1,0.0038160656363289453%
一个,5,0.019080328181644724%
自己,4,0.015264262545315781%
发,11,0.0419767219996184%
,236,0.9005914901736309%
哼,2,0.0076321312726578905%
之前,1,0.0038160656363289453%
的,144,0.5495134516313681%
咋,1,0.0038160656363289453%
啦,239,0.9120396870826177%
test,1,0.0038160656363289453%
人家,1,0.0038160656363289453%
就让,1,0.0038160656363289453%
学好,1,0.0038160656363289453%
吧,26,0.09921770654455256%
觉得,5,0.019080328181644724%
好慢,1,0.0038160656363289453%
扎,3,0.011448196908986834%
厉害,4,0.015264262545315781%
了,180,0.6868918145392101%
秋水,1,0.0038160656363289453%
你好,2,0.0076321312726578905%
渣,1,0.0038160656363289453%
有,44,0.1679068879984736%
物理,1,0.0038160656363289453%
引擎,1,0.0038160656363289453%
什么,19,0.07250524709024996%
电影,3,0.011448196908986834%
成都,1,0.0038160656363289453%
bboy,1,0.0038160656363289453%
立冬,1,0.0038160656363289453%
，,281,1.0723144438084335%
秋裤,1,0.0038160656363289453%
正在,4,0.015264262545315781%
召唤,1,0.0038160656363289453%
你,49,0.1869872161801183%
为什么,5,0.019080328181644724%
有点,2,0.0076321312726578905%
发音,1,0.0038160656363289453%
不准,1,0.0038160656363289453%
😂,12,0.04579278763594734%
这是,9,0.03434459072696051%
邓伦,1,0.0038160656363289453%
呵呵,9,0.03434459072696051%
彬彬,1,0.0038160656363289453%
好帅,2,0.0076321312726578905%
！,159,0.6067544361763022%
人头,1,0.0038160656363289453%
最高,1,0.0038160656363289453%
画质,2,0.0076321312726578905%
